time,ppg
0.0,31981
0.005,32083
0.01,32042
0.015,32086
0.02,32103
0.025,32005
0.03,32059
0.035,32075
0.04,32096
0.045,32115
0.05,32128
0.055,32157
0.06,32132
0.065,32222
0.07,32249
0.075,32337
0.08,32379
0.085,32489
0.09,32575
0.095,32643
0.1,32737
0.105,32828
0.11,32912
0.115,33029
0.12,33125
0.125,33265
0.13,33356
0.135,33475
0.14,33498
0.145,33660
0.15,33671
0.155,33729
0.16,33789
0.165,33801
0.17,34164
0.175,34119
0.18,34072
0.185,34036
0.19,34055
0.195,33938
0.2,33814
0.205,33768
0.21,33619
0.215,33643
0.22,33428
0.225,33407
0.23,33320
0.235,33166
0.24,33155
0.245,33115
0.25,33041
0.255,32989
0.26,32981
0.265,32931
0.27,32926
0.275,32909
0.28,32946
0.285,32908
0.29,32997
0.295,32984
0.3,33003
0.305,33101
0.31,33197
0.315,33223
0.32,33223
0.325,33320
0.33,33332
0.335,33395
0.34,33452
0.345,33410
0.35,33542
0.355,33533
0.36,33575
0.365,33571
0.37,33586
0.375,33616
0.38,33682
0.385,33706
0.39,33633
0.395,33652
0.4,33576
0.405,33483
0.41,33517
0.415,33482
0.42,33399
0.425,33371
0.43,33322
0.435,33209
0.44,33123
0.445,33104
0.45,33039
0.455,32969
0.46,32953
0.465,32917
0.47,32779
0.475,32761
0.48,32714
0.485,32652
0.49,32615
0.495,32517
0.5,32514
0.505,32521
0.51,32441
0.515,32357
0.52,32371
0.525,32368
0.53,32312
0.535,32257
0.54,32314
0.545,32198
0.55,32246
0.555,32215
0.56,32162
0.565,32240
0.57,32200
0.575,32139
0.58,32197
0.585,32155
0.59,32098
0.595,32138
0.6,32169
0.605,32180
0.61,32160
0.615,32154
0.62,32168
0.625,32142
0.63,32190
0.635,32152
0.64,32156
0.645,32164
0.65,32106
0.655,32117
0.66,32197
0.665,32154
0.67,32131
0.675,32152
0.68,32122
0.685,32149
0.69,32114
0.695,32148
0.7,32081
0.705,32185
0.71,32118
0.715,32079
0.72,32127
0.725,32122
0.73,32140
0.735,32093
0.74,32148
0.745,32264
0.75,32087
0.755,32145
0.76,32121
0.765,32139
0.77,32066
0.775,32090
0.78,32148
0.785,32129
0.79,32189
0.795,32105
0.8,32137
0.805,32235
0.81,32102
0.815,32098
0.82,32129
0.825,32129
0.83,32161
0.835,32137
0.84,32106
0.845,32142
0.85,32232
0.855,32186
0.86,32045
0.865,32146
0.87,32127
0.875,32190
0.88,32174
0.885,32265
0.89,32248
0.895,32270
0.9,32273
0.905,32298
0.91,32352
0.915,32433
0.92,32460
0.925,32489
0.93,32617
0.935,32655
0.94,32730
0.945,32796
0.95,32869
0.955,32970
0.96,32998
0.965,33244
0.97,33335
0.975,33412
0.98,33558
0.985,33630
0.99,33711
0.995,33681
1.0,33821
1.005,33893
1.01,33960
1.015,34304
1.02,34279
1.025,34160
1.03,34080
1.035,34124
1.04,34036
1.045,33990
1.05,33864
1.055,33784
1.06,33627
1.065,33601
1.07,33475
1.075,33413
1.08,33333
1.085,33237
1.09,33185
1.095,33116
1.1,33098
1.105,33054
1.11,32992
1.115,32978
1.12,33059
1.125,33001
1.13,33057
1.135,33061
1.14,33059
1.145,33091
1.15,33167
1.155,33220
1.16,33284
1.165,33269
1.17,33347
1.175,33418
1.18,33531
1.185,33438
1.19,33585
1.195,33591
1.2,33663
1.205,33661
1.21,33716
1.215,33778
1.22,33745
1.225,33751
1.23,33745
1.235,33693
1.24,33720
1.245,33667
1.25,33612
1.255,33601
1.26,33549
1.265,33535
1.27,33452
1.275,33376
1.28,33387
1.285,33307
1.29,33253
1.295,33164
1.3,33073
1.305,32998
1.31,32939
1.315,32922
1.32,32833
1.325,32719
1.33,32718
1.335,32618
1.34,32628
1.345,32535
1.35,32492
1.355,32505
1.36,32464
1.365,32377
1.37,32437
1.375,32463
1.38,32310
1.385,32410
1.39,32303
1.395,32295
1.4,32294
1.405,32237
1.41,32327
1.415,32289
1.42,32237
1.425,32249
1.43,32199
1.435,32236
1.44,32279
1.445,32180
1.45,32223
1.455,32242
1.46,32273
1.465,32282
1.47,32215
1.475,32203
1.48,32245
1.485,32215
1.49,32216
1.495,32265
1.5,32286
1.505,32234
1.51,32216
1.515,32243
1.52,32154
1.525,32221
1.53,32183
1.535,32306
1.54,32245
1.545,32224
1.55,32211
1.555,32127
1.56,32243
1.565,32276
1.57,32190
1.575,32241
1.58,32242
1.585,32159
1.59,32248
1.595,32263
1.6,32222
1.605,32211
1.61,32242
1.615,32157
1.62,32216
1.625,32250
1.63,32167
1.635,32247
1.64,32196
1.645,32136
1.65,32207
1.655,32175
1.66,32222
1.665,32168
1.67,32247
1.675,32183
1.68,32222
1.685,32188
1.69,32197
1.695,32252
1.7,32216
1.705,32194
1.71,32163
1.715,32250
1.72,32235
1.725,32197
1.73,32218
1.735,32172
1.74,32173
1.745,32181
1.75,32225
1.755,32225
1.76,32190
1.765,32248
1.77,32254
1.775,32238
1.78,32278
1.785,32241
1.79,32260
1.795,32266
1.8,32269
1.805,32324
1.81,32281
1.815,32414
1.82,32377
1.825,32449
1.83,32462
1.835,32598
1.84,32695
1.845,32768
1.85,32847
1.855,32855
1.86,32982
1.865,33098
1.87,33188
1.875,33370
1.88,33444
1.885,33540
1.89,33657
1.895,33695
1.9,33777
1.905,33846
1.91,33950
1.915,33983
1.92,34014
1.925,34360
1.93,34256
1.935,34253
1.94,34232
1.945,34117
1.95,34074
1.955,34048
1.96,33961
1.965,33867
1.97,33733
1.975,33629
1.98,33582
1.985,33442
1.99,33386
1.995,33348
2.0,33224
2.005,33162
2.01,33141
2.015,33132
2.02,33108
2.025,33087
2.03,33102
2.035,33036
2.04,33082
2.045,33147
2.05,33143
2.055,33168
2.06,33219
2.065,33279
2.07,33357
2.075,33380
2.08,33479
2.085,33584
2.09,33569
2.095,33669
2.1,33678
2.105,33667
2.11,33733
2.115,33736
2.12,33821
2.125,33768
2.13,33865
2.135,33839
2.14,33738
2.145,33825
2.15,33831
2.155,33718
2.16,33747
2.165,33606
2.17,33633
2.175,33512
2.18,33534
2.185,33393
2.19,33301
2.195,33346
2.2,33349
2.205,33180
2.21,33167
2.215,33077
2.22,32999
2.225,32972
2.23,32950
2.235,32791
2.24,32804
2.245,32746
2.25,32637
2.255,32704
2.26,32677
2.265,32536
2.27,32601
2.275,32511
2.28,32477
2.285,32513
2.29,32447
2.295,32432
2.3,32459
2.305,32436
2.31,32410
2.315,32317
2.32,32301
2.325,32391
2.33,32310
2.335,32343
2.34,32294
2.345,32322
2.35,32279
2.355,32381
2.36,32282
2.365,32312
2.37,32308
2.375,32357
2.38,32260
2.385,32309
2.39,32301
2.395,32327
2.4,32324
2.405,32289
2.41,32314
2.415,32291
2.42,32320
2.425,32299
2.43,32278
2.435,32300
2.44,32314
2.445,32381
2.45,32282
2.455,32310
2.46,32351
2.465,32223
2.47,32234
